Name Continent,Name Country,Ini Cap Ele
Africa,Kenya,662.5
Africa,Ethiopia,7.3
Asia,Thailand,0.3
Asia,Philippines,1845.84
Asia,Japan,542.133
Asia,Indonesia,1657
Asia,China,27.88
Europe,Turkey,1138.24
Europe,Russia,81.9
Europe,Romania,0.05
Europe,Portugal,30.5
Europe,Italy,915.5
Europe,Iceland,752.6
Europe,Hungary,3.35
Europe,Germany,38.01
Europe,France,18.1
Europe,Austria,1.8
North America,United States,3460.95
North America,Nicaragua,159
North America,Mexico,972.4
North America,Honduras,35
North America,Guatemala,52
North America,El Salvador,204.4
North America,Costa Rica,205
Oceania,Papua New Guinea,56
Oceania,New Zealand,954.4
Oceania,Australia,1.12
South America,Chile,48
